Time (EDT),AURSCO - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS
 1 Jan '19 05:00:00,0,0,0,0,0,0,0,531.3333333,0,0,0,976.24,187183.76,0,0,0,1888.72,249251.9467,0,686.1066667
 1 Jan '19 05:05:00,0,0,0,0,0,0,0,515.28,0,0,0,6630.666667,189610.64,0,0,0,1885.706667,240629.0667,0,923.0933333
 1 Jan '19 05:10:00,0,0,0,0,0,0,0,800.0266667,0,0,0,26306.16,187397.28,0,0,0,13926.82667,225966.64,0,1145.626667
 1 Jan '19 05:15:00,0,0,0,0,0,0,0,359.2266667,0,0,0,73169.92,241499.8667,0,0,0,31203.92,252966.0533,0,750.6133333
 1 Jan '19 05:20:00,0,0,0,0,0,0,0,516.0266667,0,0,0,834.5866667,214037.8133,0,0,0,52631.97333,229310.96,0,743.0133333
 1 Jan '19 05:25:00,0,0,0,0,0,0,183.2533333,356.3733333,0,0,0,2507.333333,156227.0667,0,0,0,65216.61333,222215.7333,0,753.7866667
 1 Jan '19 05:30:00,0,0,0,0,0,0,0,257.76,0,0,0,16151.2,230504.64,0,0,0,57656.64,253189.8667,0,748.9066667
 1 Jan '19 05:35:00,0,0,0,0,0,0,0,791.9466667,0,0,0,30252.37333,204494.6667,0,0,0,667.2533333,240589.84,0,461.2266667
 1 Jan '19 05:40:00,0,0,0,0,0,0,0,360.0533333,0,0,0,662.3466667,265043.12,0,0,0,1413.2,316730.72,0,514.64
 1 Jan '19 05:45:00,0,0,0,0,0,0,0,258.56,0,0,0,590.5333333,205808.4533,0,0,0,1024.453333,246571.3333,0,745.1466667
 1 Jan '19 05:50:00,0,0,0,0,0,0,0,258.56,0,0,0,590.5333333,205808.4533,0,0,0,1024.453333,246571.3333,0,745.1466667
 1 Jan '19 05:55:00,0,0,0,0,0,0,0,356.6666667,0,0,0,71500.21333,236094,0,0,0,4415.76,257530.8533,0,344.16
